Ilokano,English
agalala,getting
agawawag,calling
agbuybuya,watching
agchachat,chatting
agdaldalus,cleaning up
agdigdigos,showering or taking a bath
aggatgatang,buying
aggawgawid,going home
aggirgitara,playing the guitar
agininum,drinking
agkankanta,singing
aglablaba,doing the laundry
aglutluto,cooking
agmanmaneho,driving
agpagpagna,walking
agplanplancha,ironing
agririing,waking up
agrurubbuat,wearing (clothes)
agsangsangit,crying
agsangsangpet,arriving
agsasao,speaking
agsuksukat,changing (clothes)
agsursurat,writing
agtartaray,running
agturturog,sleeping
agugugas,washing the dishes
agwalwalis,sweeping
ammigat,eating breakfast
angngaldaw,eating lunch
angrabii,eating dinner
